"Country","Region","InfMortRate","LifeExp","MatMortRate"
"AFGHANISTAN","SOUTH ASIA",42,54.4,521
"ALBANIA","EUROPE",10.8,79.9,7
"ALGERIA","AFRICA",18.6,77.9,62
"ANDORRA","EUROPE",3.3,83.8,11
"ANGOLA","AFRICA",46.1,62.9,183
"ANTIGUA AND BARBUDA","CENTRAL AMERICA AND THE CARIBBEAN",13.3,78.3,35
"ARGENTINA","SOUTH AMERICA",7.4,78.8,33
"ARMENIA","CENTRAL ASIA",11.3,76.7,19
"AUSTRALIA","AUSTRALIA AND OCEANIA",3,83.5,2
"AUSTRIA","EUROPE",3.2,82.7,6
"AZERBAIJAN","CENTRAL ASIA",10.7,75.9,18
"BAHAMAS THE","CENTRAL AMERICA AND THE CARIBBEAN",9.2,76.7,76
"BAHRAIN","MIDDLE EAST",9.6,80.4,17
"BANGLADESH","SOUTH ASIA",22,75.2,115
"BARBADOS","CENTRAL AMERICA AND THE CARIBBEAN",15.1,79,35
"BELARUS","EUROPE",2.1,74.7,1
"BELGIUM","EUROPE",3,82.3,4
"BELIZE","CENTRAL AMERICA AND THE CARIBBEAN",11.3,74.3,67
"BENIN","AFRICA",51.6,63,518
"BHUTAN","SOUTH ASIA",23,73.7,47
"BOLIVIA","SOUTH AMERICA",22.1,72.5,146
"BOSNIA AND HERZEGOVINA","EUROPE",3.8,78.5,6
"BOTSWANA","AFRICA",27.8,66.4,155
"BRAZIL","SOUTH AMERICA",12.7,76.3,67
"BRUNEI","EAST AND SOUTHEAST ASIA",9.8,78.9,36
"BULGARIA","EUROPE",7.5,76.1,6
"BURKINA FASO","AFRICA",48,64.2,242
"BURMA","EAST AND SOUTHEAST ASIA",30.8,70.3,185
"BURUNDI","AFRICA",35.3,68.1,392
"CABO VERDE","AFRICA",21.9,74.3,40
"CAMBODIA","EAST AND SOUTHEAST ASIA",27.2,71.4,137
"CAMEROON","AFRICA",44.6,64.2,258
"CANADA","NORTH AMERICA",3.8,84.2,12
"CENTRAL AFRICAN REPUBLIC","AFRICA",79.3,56.4,692
"CHAD","AFRICA",61.1,60,748
"CHILE","SOUTH AMERICA",4.5,80.3,10
"CHINA","EAST AND SOUTHEAST ASIA",6,78.7,16
"COLOMBIA","SOUTH AMERICA",11.6,74.9,59
"COMOROS","AFRICA",53.9,67.8,179
"CONGO DEMOCRATIC REPUBLIC OF THE","AFRICA",55.8,62.6,427
"CONGO REPUBLIC OF THE","AFRICA",29.9,72.9,241
"COSTA RICA","CENTRAL AMERICA AND THE CARIBBEAN",6.3,80.3,24
"COTE D'IVOIRE","AFRICA",52.3,63.2,359
"CROATIA","EUROPE",3.4,77.7,3
"CUBA","CENTRAL AMERICA AND THE CARIBBEAN",5.2,80.1,35
"CYPRUS","EUROPE",7.9,80.2,14
"CZECHIA","EUROPE",2.5,78.6,3
"DENMARK","EUROPE",3.1,82.1,4
"DJIBOUTI","AFRICA",44.3,65.9,162
"DOMINICA","CENTRAL AMERICA AND THE CARIBBEAN",10.5,78.7,36
"DOMINICAN REPUBLIC","CENTRAL AMERICA AND THE CARIBBEAN",20.8,72.6,124
"ECUADOR","SOUTH AMERICA",11.2,74.9,55
"EGYPT","AFRICA",16.4,75,17
"EL SALVADOR","CENTRAL AMERICA AND THE CARIBBEAN",10,75.9,39
"EQUATORIAL GUINEA","AFRICA",76.9,63.9,174
"ERITREA","AFRICA",39,67.5,291
"ESTONIA","EUROPE",2,78.4,5
"ESWATINI","AFRICA",38,60.7,118
"ETHIOPIA","AFRICA",31.3,67.7,195
"FIJI","AUSTRALIA AND OCEANIA",9.4,74.8,30
"FINLAND","EUROPE",1.9,82.2,8
"FRANCE","EUROPE",3.1,82.6,7
"GABON","AFRICA",26,70.4,233
"GAMBIA THE","AFRICA",35,68.4,354
"GAZA STRIP","MIDDLE EAST",14.2,75.5,16
"GEORGIA","CENTRAL ASIA",20.9,72.8,20
"GERMANY","EUROPE",3,81.9,4
"GHANA","AFRICA",30.5,70.1,234
"GREECE","EUROPE",3.4,81.9,5
"GRENADA","CENTRAL AMERICA AND THE CARIBBEAN",8.8,76.3,48
"GUATEMALA","CENTRAL AMERICA AND THE CARIBBEAN",23.4,73.5,94
"GUINEA","AFRICA",45.8,64.6,494
"GUINEA BISSAU","AFRICA",45.1,64.5,505
"GUYANA","SOUTH AMERICA",20.6,72.4,75
"HAITI","CENTRAL AMERICA AND THE CARIBBEAN",35,65.6,328
"HONDURAS","CENTRAL AMERICA AND THE CARIBBEAN",15.4,73.1,47
"HUNGARY","EUROPE",4.6,76,12
"ICELAND","EUROPE",1.6,84,3
"INDIA","SOUTH ASIA",30.5,68.2,80
"INDONESIA","EAST AND SOUTHEAST ASIA",18.5,73.6,140
"IRAN","MIDDLE EAST",9.7,75.6,16
"IRAQ","MIDDLE EAST",18.3,73.7,66
"IRELAND","EUROPE",3.2,82,4
"ISRAEL","MIDDLE EAST",2.6,83.1,2
"ITALY","EUROPE",3,83,6
"JAMAICA","CENTRAL AMERICA AND THE CARIBBEAN",14.5,76.3,130
"JAPAN","EAST AND SOUTHEAST ASIA",1.8,85.2,3
"JORDAN","MIDDLE EAST",12.9,76.5,31
"KAZAKHSTAN","CENTRAL ASIA",7.9,73.3,10
"KENYA","AFRICA",26.8,70.4,379
"KIRIBATI","AUSTRALIA AND OCEANIA",30.8,68.5,80
"KOREA NORTH","EAST AND SOUTHEAST ASIA",14.7,73.5,67
"KOREA SOUTH","EAST AND SOUTHEAST ASIA",2.2,83.4,4
"KUWAIT","MIDDLE EAST",7,79.6,8
"KYRGYZSTAN","CENTRAL ASIA",24,72.9,42
"LAOS","EAST AND SOUTHEAST ASIA",34.2,69,112
"LATVIA","EUROPE",2.4,76.4,19
"LEBANON","MIDDLE EAST",7.3,79.2,15
"LESOTHO","AFRICA",52.2,60.2,478
"LIBERIA","AFRICA",55.2,61.6,628
"LIBYA","AFRICA",10.4,77.7,59
"LITHUANIA","EUROPE",2.5,76.1,8
"LUXEMBOURG","EUROPE",3.1,83.4,12
"MADAGASCAR","AFRICA",38.4,68.8,445
"MALAWI","AFRICA",28.9,73,225
"MALAYSIA","EAST AND SOUTHEAST ASIA",6.3,76.6,26
"MALDIVES","SOUTH ASIA",23.7,77.4,32
"MALI","AFRICA",55.8,63.2,367
"MALTA","EUROPE",4.6,83.6,8
"MARSHALL ISLANDS","AUSTRALIA AND OCEANIA",20.1,75.2,155
"MAURITANIA","AFRICA",29.9,65.9,381
"MAURITIUS","AFRICA",11.4,75.4,66
"MEXICO","NORTH AMERICA",12.3,74.6,42
"MICRONESIA FEDERATED STATES OF","AUSTRALIA AND OCEANIA",20.4,75,129
"MOLDOVA","EUROPE",13.5,70.1,19
"MONACO","EUROPE",1.7,89.8,5
"MONGOLIA","EAST AND SOUTHEAST ASIA",8.6,71.9,41
"MONTENEGRO","EUROPE",3.1,78.2,6
"MOROCCO","AFRICA",17.8,74.2,70
"MOZAMBIQUE","AFRICA",56.7,58.3,82
"NAMIBIA","AFRICA",27.1,65.9,139
"NAURU","AUSTRALIA AND OCEANIA",7.5,68.6,273
"NEPAL","SOUTH ASIA",23.4,73,142
"NETHERLANDS","EUROPE",3.6,81.9,4
"NEW ZEALAND","AUSTRALIA AND OCEANIA",3.3,82.9,7
"NICARAGUA","CENTRAL AMERICA AND THE CARIBBEAN",14.1,74.7,60
"NIGER","AFRICA",63,60.9,350
"NIGERIA","AFRICA",65.6,62.2,993
"NORTH MACEDONIA","EUROPE",6.8,77.3,3
"NORWAY","EUROPE",1.8,82.9,1
"OMAN","MIDDLE EAST",13.6,77.4,13
"PAKISTAN","SOUTH ASIA",50.3,70.3,155
"PALAU","AUSTRALIA AND OCEANIA",10.6,75.2,89
"PANAMA","CENTRAL AMERICA AND THE CARIBBEAN",13.2,79.2,37
"PAPUA NEW GUINEA","EAST AND SOUTHEAST ASIA",31.3,70.1,189
"PARAGUAY","SOUTH AMERICA",21.4,78.8,58
"PERU","SOUTH AMERICA",10.6,68.9,51
"PHILIPPINES","EAST AND SOUTHEAST ASIA",18.5,70.8,84
"POLAND","EUROPE",4.6,76.7,2
"PORTUGAL","EUROPE",2.4,81.9,15
"PUERTO RICO","CENTRAL AMERICA AND THE CARIBBEAN",5.7,82.1,11
"QATAR","MIDDLE EAST",6.2,80.3,4
"ROMANIA","EUROPE",5.3,76.9,12
"RUSSIA","CENTRAL ASIA",6.4,72.3,9
"RWANDA","AFRICA",27.4,66.6,229
"SAINT KITTS AND NEVIS","CENTRAL AMERICA AND THE CARIBBEAN",7.9,77.6,74
"SAINT LUCIA","CENTRAL AMERICA AND THE CARIBBEAN",11.3,79.4,44
"SAINT VINCENT AND THE GRENADINES","CENTRAL AMERICA AND THE CARIBBEAN",12,77.2,56
"SAMOA","AUSTRALIA AND OCEANIA",17.2,75.7,101
"SAN MARINO","EUROPE",6.1,84.2,8
"SAO TOME AND PRINCIPE","AFRICA",41.7,67.7,75
"SAUDI ARABIA","MIDDLE EAST",11.4,77.2,7
"SENEGAL","AFRICA",30.4,70.6,237
"SERBIA","EUROPE",4.4,75.3,11
"SEYCHELLES","AFRICA",10,76.6,42
"SIERRA LEONE","AFRICA",70.1,59.4,354
"SLOVAKIA","EUROPE",5,77.2,4
"SLOVENIA","EUROPE",1.8,82.2,3
"SOLOMON ISLANDS","AUSTRALIA AND OCEANIA",18.6,77.2,123
"SOMALIA","AFRICA",81.5,56.5,563
"SOUTH AFRICA","AFRICA",19.7,71.9,118
"SOUTH SUDAN","AFRICA",58.6,60.3,692
"SPAIN","EUROPE",2.4,83,3
"SRI LANKA","SOUTH ASIA",6.8,76.8,18
"SUDAN","AFRICA",39.7,67.8,256
"SURINAME","SOUTH AMERICA",29.3,72.7,84
"SWEDEN","EUROPE",2.2,82.9,4
"SWITZERLAND","EUROPE",3,83.9,5
"SYRIA","MIDDLE EAST",14.7,74.8,20
"TAJIKISTAN","CENTRAL ASIA",20.3,71.9,14
"TANZANIA","AFRICA",28.4,70.8,276
"THAILAND","EAST AND SOUTHEAST ASIA",6.2,78.2,34
"TIMOR LESTE","EAST AND SOUTHEAST ASIA",41.9,70.5,192
"TOGO","AFRICA",34.5,72.1,349
"TONGA","AUSTRALIA AND OCEANIA",11.5,78,67
"TRINIDAD AND TOBAGO","CENTRAL AMERICA AND THE CARIBBEAN",14.7,76.5,54
"TUNISIA","AFRICA",10.6,77.3,36
"TURKEY","MIDDLE EAST",17.9,76.7,15
"TURKMENISTAN","CENTRAL ASIA",35,72.4,5
"TUVALU","AUSTRALIA AND OCEANIA",27.2,69,170
"UGANDA","AFRICA",27.5,69.7,170
"UKRAINE","EUROPE",8.4,70.5,15
"UNITED ARAB EMIRATES","MIDDLE EAST",4.9,79.9,3
"UNITED KINGDOM","EUROPE",3.7,82.2,8
"UNITED STATES","NORTH AMERICA",5,80.9,17
"URUGUAY","SOUTH AMERICA",6.9,78.9,15
"UZBEKISTAN","CENTRAL ASIA",17.6,76.2,26
"VANUATU","AUSTRALIA AND OCEANIA",13.4,75.7,100
"VENEZUELA","SOUTH AMERICA",13.6,74.5,227
"VIETNAM","EAST AND SOUTHEAST ASIA",13.8,76.1,48
"WEST BANK","MIDDLE EAST",14.2,76.5,16
"YEMEN","MIDDLE EAST",42.4,68.2,118
"ZAMBIA","AFRICA",30.1,66.9,85
"ZIMBABWE","AFRICA",32.8,67.2,358
